step,amount,type,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
103,3185.6,PAYMENT,2761.5,0,7796.91,7796.91,1
21,340.25,PAYMENT,276.28,0,580.84,580.84,0
88,813.06,CASH_OUT,638.85,0,6508.88,7321.94,0
309,7008.11,TRANSFER,12841.96,5833.85,10616.96,17625.07,0
192,9711.23,TRANSFER,15707.73,5996.5,30582.66,40293.89,0
253,1132.07,TRANSFER,1461.76,329.69,30592.64,31724.71,0
682,96.58,PAYMENT,236.38,139.8,2327.71,2327.71,0
687,1927.69,CASH_IN,19123.1,21050.79,5718.42,3790.73,0
505,96.13,PAYMENT,164.87,68.74,1705.24,1705.24,0
167,27.71,CASH_IN,47110.09,47137.8,58.93,31.22,0
346,206.55,DEBIT,385.93,179.38,4401.52,4401.52,0
455,1884.2,PAYMENT,4081.91,2197.71,1733.65,1733.65,0
81,599.92,PAYMENT,1094.88,494.96,3117.11,3117.11,0
390,467.24,PAYMENT,764.12,296.88,313.13,313.13,0
402,2985.49,TRANSFER,5790.35,2804.86,44741.37,47726.86,0
270,2599.56,TRANSFER,3448.42,848.86,28522.2,31121.76,0
252,93.56,CASH_IN,16266.52,16360.08,166.29,72.73,0
338,1552.72,CASH_IN,29337.56,30890.28,4550.26,2997.54,0
188,1565.81,PAYMENT,1224.23,0,8021.97,8021.97,1
65,32.52,CASH_IN,21170.07,21202.59,58.2,25.68,0
648,12.07,TRANSFER,21.91,9.84,35342.87,35354.94,0
675,3123.97,CASH_IN,30298,33421.97,8911.44,5787.47,0
41,4930.26,DEBIT,10846.95,5916.69,4494.51,4494.51,1
33,132.34,TRANSFER,173.5,41.16,16259.17,16391.51,0
99,1790.54,DEBIT,1879.07,88.53,5612.43,5612.43,0
739,255.74,CASH_IN,35662.24,35917.98,644.87,389.13,0
218,539.34,CASH_OUT,545.89,6.55,404.34,943.68,0
207,1116.63,PAYMENT,615.08,0,1078.91,1078.91,0
575,4523.19,TRANSFER,6673.38,2150.19,28163.78,32686.97,0
734,301.09,DEBIT,514.51,213.42,5398.41,5398.41,0
541,520.61,CASH_OUT,340.46,0,2897.51,3418.12,0
86,4249.34,CASH_OUT,7430.86,3181.52,2956.34,7205.68,0
646,1220.58,TRANSFER,1487.2,266.62,20825.5,22046.08,0
331,785.15,TRANSFER,881.01,95.86,17814.89,18600.04,0
190,234.18,CASH_OUT,223.85,0,4271.08,4505.26,0
628,870.49,PAYMENT,965.86,95.37,1646.56,1646.56,0
411,1081.55,PAYMENT,1021.22,0,1198.65,1198.65,0
684,560.76,DEBIT,469.12,0,2187.64,2187.64,0
472,2429.17,PAYMENT,2981.22,552.05,9717.82,9717.82,0
564,568.05,CASH_OUT,1075.1,507.05,7122.71,7690.76,0
613,671.5,CASH_OUT,385.29,0,6095.64,6767.14,0
642,1059.78,CASH_IN,1652.54,2712.32,1791.18,731.4,0
385,548.72,CASH_OUT,433.37,0,4894.53,5443.25,0
672,1610.92,PAYMENT,2715.03,1104.11,808.53,808.53,0
184,543.67,DEBIT,1063.65,519.98,3677.83,3677.83,0
610,2008.68,CASH_IN,26788.73,28797.41,2371.41,362.73,0
609,327.73,PAYMENT,496.97,169.24,6958.13,6958.13,0
660,789.93,DEBIT,742.92,0,7111.5,7111.5,0
511,514.65,PAYMENT,921.4,406.75,1743.66,1743.66,0
640,1459.59,CASH_IN,41885.51,43345.1,3432.05,1972.46,0
473,470.1,CASH_OUT,744.12,274.02,6957.84,7427.94,0
263,2158.53,CASH_IN,40861.11,43019.64,4555.37,2396.84,0
572,605.45,CASH_OUT,1509.09,903.64,9654.19,10259.64,0
453,4614.55,CASH_IN,31655.07,36269.62,7743.49,3128.94,0
99,2411.33,TRANSFER,4452.91,2041.58,42816.21,45227.54,0
54,3028.12,PAYMENT,5402.36,2374.24,841.4,841.4,0
420,4577.46,PAYMENT,7840.54,3263.08,91.97,91.97,0
510,5632.27,TRANSFER,11116.21,5483.94,14196.05,19828.32,0
338,1330.56,CASH_OUT,1858.59,528.03,9944.57,11275.13,0
161,37.48,PAYMENT,55.76,18.28,1788.23,1788.23,0
504,2098.55,TRANSFER,3880.69,1782.14,32880.64,34979.19,0
33,1565.13,PAYMENT,2375.29,810.16,6363.33,6363.33,1
22,560.4,DEBIT,1370.75,810.35,3930.98,3930.98,0
438,4732.02,CASH_OUT,6477.14,1745.12,3500.78,8232.8,0
609,1721.31,DEBIT,2556.21,834.9,1952.43,1952.43,0
659,1698.28,CASH_OUT,3459.58,1761.3,436.04,2134.32,0
172,5643.17,TRANSFER,11026.35,5383.18,45743.22,51386.39,0
99,2755.42,CASH_OUT,6629.94,3874.52,3307.5,6062.92,0
302,6802.68,CASH_OUT,16511.74,9709.06,8530.09,15332.77,0
191,730.69,TRANSFER,870.19,139.5,13423.74,14154.43,0
323,372.44,CASH_OUT,600.97,228.53,9361.55,9733.99,0
570,5320,PAYMENT,3409.23,0,2089.19,2089.19,0
663,302.84,CASH_IN,25916.48,26219.32,834.25,531.41,0
104,2389.15,TRANSFER,4067.49,1678.34,17974.56,20363.71,0
477,704.4,CASH_IN,20989.04,21693.44,1065.34,360.94,0
408,4890.23,TRANSFER,7390.81,2500.58,25075.81,29966.04,0
685,433.02,TRANSFER,463.74,30.72,19839.19,20272.21,0
654,4415.65,DEBIT,5192.76,777.11,3755.83,3755.83,0
727,2230.64,DEBIT,2579.3,348.66,1550.42,1550.42,0
190,676.26,CASH_OUT,1137.24,460.98,305,981.26,0
692,80.22,CASH_IN,15163.28,15243.5,166.39,86.17,0
613,1478.31,TRANSFER,2616.6,1138.29,10791.05,12269.36,0
